2026-03-16 07:13:21 | embeddings_service | INFO     | embeddings_service.py:47 | Embeddings model initialized: sentence-transformers/all-mpnet-base-v2
2026-03-16 07:17:18 | embeddings_service | INFO     | embeddings_service.py:67 | Creating embeddings: provider = huggingface_inference, model = sentence-transformers/all-mpnet-base-v2
2026-03-16 07:17:18 | embeddings_service | INFO     | embeddings_service.py:47 | Embeddings model initialized: sentence-transformers/all-mpnet-base-v2
2026-03-16 07:23:32 | embeddings_service | INFO     | embeddings_service.py:67 | Creating embeddings: provider = huggingface_inference, model = sentence-transformers/all-mpnet-base-v2
2026-03-16 07:23:32 | embeddings_service | INFO     | embeddings_service.py:47 | Embeddings model initialized: sentence-transformers/all-mpnet-base-v2
2026-03-16 07:26:26 | embeddings_service | INFO     | embeddings_service.py:67 | Creating embeddings: provider = huggingface_inference, model = sentence-transformers/all-mpnet-base-v2
2026-03-16 07:26:26 | embeddings_service | INFO     | embeddings_service.py:47 | Embeddings model initialized: sentence-transformers/all-mpnet-base-v2
2026-03-16 07:27:21 | embeddings_service | INFO     | embeddings_service.py:67 | Creating embeddings: provider = huggingface_inference, model = sentence-transformers/all-mpnet-base-v2
2026-03-16 07:27:21 | embeddings_service | INFO     | embeddings_service.py:47 | Embeddings model initialized: sentence-transformers/all-mpnet-base-v2
2026-03-16 07:30:47 | embeddings_service | INFO     | embeddings_service.py:67 | Creating embeddings: provider = huggingface_inference, model = sentence-transformers/all-mpnet-base-v2
2026-03-16 07:30:47 | embeddings_service | INFO     | embeddings_service.py:47 | Embeddings model initialized: sentence-transformers/all-mpnet-base-v2
