2026-03-15 22:43:25 | vector_store | INFO     | vector_store.py:72 | Ingesting 5 documents...
2026-03-15 22:43:26 | vector_store | INFO     | vector_store.py:77 | Successfully ingested 5 documents
2026-03-15 22:43:26 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:43:26 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:43:26 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-15 22:43:26 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-15 22:43:26 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:43:26 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:43:26 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:43:26 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:45:59 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-15 22:45:59 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-15 22:45:59 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:45:59 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:45:59 | vector_store | INFO     | vector_store.py:72 | Ingesting 5 documents...
2026-03-15 22:46:01 | vector_store | INFO     | vector_store.py:77 | Successfully ingested 5 documents
2026-03-15 22:46:02 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:46:02 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:46:02 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-15 22:46:02 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-15 22:46:02 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:46:02 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:46:02 | vector_store | INFO     | vector_store.py:72 | Ingesting 5 documents...
2026-03-15 22:46:02 | vector_store | INFO     | vector_store.py:77 | Successfully ingested 5 documents
